radeg,raerr,decdeg,decerr,number_of_Obs,Johnson_V,Verr,Johnson_B,B_err,Sloan_g,gerr,Sloan_r,r_err,Sloan_i,i_err
119.151579,1.203,-28.566778,0.95,4,14.605,0.019,15.103,0.071,14.877,-0,14.402,-0,14.411,0.125
119.15178,1.203,-28.566911,0.795,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
119.152148,0.765,-28.548957,0.953,4,15.386,0.008,16.127,0.043,15.696,-0,15.201,-0,14.827,-0
119.1524,0.206,-28.547698,1.425,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
119.153116,0.889,-28.573482,1.166,2,15.951,-0,16.669,-0,16.184,-0,15.752,-0,15.746,-0
119.15618,1.045,-28.647596,1.539,2,16.119,-0,16.598,-0,NA,NA,NA,NA,NA,NA
119.160217,0.964,-28.601401,0.808,5,14.982,0.042,16.487,0.025,15.713,-0,14.394,-0,13.927,0.075
119.164025,0.89,-28.610148,0.998,4,15.916,0.059,16.639,0.059,16.156,-0,15.742,-0,NA,NA
119.165374,0.849,-28.575236,1.048,3,14.986,-0,15.573,-0,15.219,-0,14.825,-0,14.726,-0
119.165397,0.962,-28.575158,0.88,4,14.942,-0,15.517,-0,15.249,-0,14.871,-0,14.643,-0.065
119.165632,0.752,-28.558371,0.802,4,14.575,-0,15.415,-0,14.952,-0,14.299,-0,14.012,0.008
119.165779,0.674,-28.680976,0.592,5,14.221,0.026,15.577,0.052,14.868,0,13.748,0.008,13.254,0.066
119.167649,0.642,-28.467082,0.628,3,14.559,-0,15.863,-0,15.146,-0,14.064,-0,13.595,-0
119.16874,0.653,-28.64828,1.202,2,NA,NA,NA,NA,17.613,-0,16.212,-0,15.628,0.242
119.17032,0.667,-28.633121,0.394,5,13.919,0.028,14.335,0.047,14.071,-0,13.851,-0,13.759,0.064
119.170538,0.478,-28.668507,1.141,2,16.286,0.071,17.232,0.105,16.725,-0,16.113,-0,NA,NA
119.173479,1.05,-28.571939,0.669,3,15.357,-0,16.171,-0.047,NA,NA,NA,NA,15.301,-0
119.173561,0.686,-28.509007,0.955,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
119.173624,0.549,-28.50932,1.132,2,14.506,-0,15.321,-0,14.881,-0,14.286,-0,14.025,-0
119.174153,0.611,-28.566568,0.522,5,13.103,0.021,13.602,0.032,13.298,0.011,12.97,0.017,12.914,0.032
119.17426,0.933,-28.456378,1.039,3,15.263,-0,15.962,-0,15.621,-0,15.065,-0,15.007,-0
119.17556,1.002,-28.604546,0.637,5,14.557,0.006,14.985,0.011,14.701,0.046,14.504,0.063,14.471,0.085
119.175801,0.945,-28.538752,0.748,5,14.871,0.046,15.649,0.041,15.299,-0,14.665,-0,14.346,-0
119.178013,1.043,-28.583717,0.747,2,16.137,-0,16.472,-0,16.202,-0,16.118,-0,NA,NA
119.178895,0.642,-28.527568,0.858,3,14.357,-0,14.923,-0,14.568,-0,14.191,-0,13.999,-0
119.180741,0.519,-28.604565,1.237,2,16.149,-0,17.383,-0,NA,NA,NA,NA,15.32,-0
119.181082,0.633,-28.487836,0.699,3,14.03,-0,14.83,-0,14.362,-0,13.773,-0,13.551,-0
119.181607,0.777,-28.639706,0.583,2,16.327,0.03,17.191,0.033,16.709,-0,16.133,-0,NA,NA
119.182429,0.975,-28.730568,0.725,4,15.617,0.052,16.339,0.011,15.989,-0,15.342,-0,15.333,0.251
119.182569,1.017,-28.596612,0.858,4,14.719,-0,16.032,-0,15.307,-0,14.215,-0,13.809,0.034
119.183142,0.776,-28.70483,0.791,4,15.684,0.047,16.417,0.063,16.076,-0,15.489,-0,15.182,-0
119.183163,0.899,-28.541278,0.367,2,15.677,-0,16.66,-0,16.21,-0,15.574,-0,NA,NA
119.18353,0.606,-28.549274,0.542,5,13.705,0.014,14.814,0.03,14.213,0.017,13.321,0,12.999,0.052
119.183903,0.952,-28.437593,1.267,3,14.687,-0,15.996,-0,15.31,-0,14.184,-0,13.793,-0
119.184058,1.233,-28.43758,0.977,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
119.184294,1.034,-28.447486,0.821,3,15.07,-0,16.281,-0,NA,NA,NA,NA,NA,NA
119.185365,1.592,-28.662896,0.756,3,15.75,0.064,17.061,0.058,NA,NA,NA,NA,NA,NA
119.186958,0.877,-28.469647,0.774,2,14.782,-0,15.852,-0,15.312,-0,14.333,-0,13.959,-0
119.186976,0.854,-28.469466,0.832,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
119.188543,0.944,-28.630852,0.696,5,14.984,0.016,15.68,0.042,15.299,-0,14.764,-0,14.598,0.024
119.188934,0.779,-28.564953,0.908,5,14.44,0.027,15.234,0.081,14.802,0,14.194,0,13.94,0.009
119.189045,1.024,-28.646434,0.743,4,15.274,0.054,15.731,0.087,15.477,0.036,15.156,0.039,14.85,-0
119.190354,0.827,-28.688932,0.499,5,13.985,0.023,14.467,0.027,14.175,-0,13.894,-0,13.8,0.031
119.192173,0.829,-28.609661,1.164,2,14.535,0.026,15.1,0.086,14.722,0.115,14.424,0.032,14.424,-0
119.192239,0.631,-28.699878,0.514,5,14.019,0.014,14.575,0.037,14.259,0,13.889,0.017,13.748,0.05
119.193508,0.822,-28.736034,1.236,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
119.195391,0.838,-28.772255,0.743,4,15,0.028,15.57,0.018,15.232,-0,14.85,-0,14.755,0.01
119.195543,0.398,-28.720411,0.86,3,14.015,-0,14.766,-0,14.332,-0,13.763,-0,13.468,-0
119.195585,0.6,-28.720329,0.538,4,14.018,0.016,14.729,0.043,14.35,-0,13.825,-0,13.564,0.028
119.196003,1.172,-28.670938,0.972,3,16.141,-0,16.771,-0,16.355,-0,15.923,0.065,15.55,-0
119.196048,0.544,-28.762449,0.633,5,13.886,0.012,14.378,0.021,14.104,0.015,13.792,0,13.765,0.058
119.196342,0.905,-28.581662,1.104,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
119.196473,0.451,-28.58185,1.009,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
119.198205,0.687,-28.476052,1.112,3,14.505,-0,15.085,-0,14.705,-0,14.322,-0,14.048,-0
119.198355,0.605,-28.536069,0.437,4,12.344,0.014,12.624,0.041,12.431,-0,12.329,-0,12.321,-0
119.198596,1.263,-28.618467,0.891,3,14.943,-0,15.56,-0,15.17,-0,14.8,-0,14.608,-0
119.198697,0.91,-28.61842,1.208,3,NA,NA,NA,NA,15.188,-0.035,14.792,-0,NA,NA
119.199562,1.122,-28.686739,1.214,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
119.199618,0.746,-28.686896,1.058,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
119.199682,0.421,-28.705318,1.198,3,16.112,0.058,16.82,0.096,16.427,-0,15.897,-0,15.613,-0
119.199727,1.024,-28.594158,0.933,2,16.272,-0,16.946,-0.098,16.567,-0,15.972,-0,15.674,-0
119.200797,0.837,-28.747201,0.797,5,15.489,0.029,16.51,0.082,15.969,0.039,15.155,0.038,14.753,0.026
119.200825,0.982,-28.516947,1.144,3,15.574,-0,16.909,-0,16.224,-0,15.064,-0,14.537,-0
119.201383,0.761,-28.569891,0.499,4,14.177,0,14.838,0.02,14.463,-0,13.99,-0,13.802,-0
119.202152,0.431,-28.445921,0.898,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
119.202652,0.801,-28.640416,0.979,4,14.788,0.03,15.426,0.079,15.127,0.054,14.654,0.066,14.302,-0
119.203618,1.034,-28.575159,1.026,2,15.163,-0,15.483,-0,NA,NA,NA,NA,NA,NA
119.204327,0.664,-28.409756,1.26,3,NA,NA,NA,NA,15.937,-0,14.034,-0,13.004,-0
119.204677,0.877,-28.73012,1.129,2,15.337,-0,16.106,-0,NA,NA,NA,NA,NA,NA
119.205394,0.598,-28.691518,0.446,5,12.743,0.024,13.217,0.029,12.92,0.006,12.657,0.006,12.587,0.037
119.20584,0.638,-28.755278,1.093,2,16.461,-0,17.423,-0.126,NA,NA,NA,NA,16.003,-0
119.207853,0.514,-28.737103,0.36,5,13.483,0.026,14.313,0.036,13.848,0.008,13.262,0.048,13.09,0.017
119.2087,0.541,-28.502058,0.525,3,12.85,-0,13.349,-0,13.045,-0,12.753,-0,12.624,-0
119.208737,0.636,-28.541675,0.456,5,13.727,0.01,14.385,0.041,14.003,-0,13.538,-0,13.363,0.012
119.209071,0.897,-28.618082,0.669,3,16.012,-0,16.717,-0.084,NA,NA,NA,NA,15.382,-0
119.209587,0.534,-28.381308,0.978,3,14.757,-0,16.426,-0,15.626,-0,14.066,-0,13.311,-0
119.209637,0.502,-28.567144,0.447,5,13.608,0.011,14.863,0.012,14.18,-0,13.161,-0,12.711,0.07
119.209755,1.064,-28.643681,1.032,2,16.13,-0,16.281,-0.112,NA,NA,NA,NA,NA,NA
119.209992,1.002,-28.65223,0.779,2,15.717,-0,16.606,-0,16.17,-0,15.636,-0,15.251,-0
119.212566,1.584,-28.662002,1.241,2,NA,NA,16.114,-0,15.605,-0,15.058,-0,NA,NA
119.212724,0.883,-28.753954,0.738,5,15.24,0.017,15.919,0.017,15.546,-0,15.014,-0,15.008,0.28
119.212792,1.389,-28.753982,0.716,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
119.213272,0.683,-28.66219,0.945,3,15.294,-0,NA,NA,15.529,-0.044,15.084,-0,14.72,-0
119.213406,0.503,-28.40524,0.484,3,12.194,-0,13.424,-0,12.767,-0,11.778,-0,11.354,-0
119.213562,0.688,-28.771784,0.586,5,14.426,0.035,14.935,0.089,14.653,0.015,14.323,0.017,14.128,0.054
119.213868,0.663,-28.761285,0.57,5,14.336,0.023,15.071,0.046,14.64,-0,14.076,-0,13.978,0.052
119.214113,0.745,-28.557017,0.958,4,15.7,0.112,16.829,0.031,16.263,-0,15.344,-0,15.059,-0
119.214315,0.707,-28.704525,1.163,2,15.243,-0,15.903,-0.033,NA,NA,NA,NA,NA,NA
119.214567,0.788,-28.804893,1.503,2,16.456,-0,17.115,-0,NA,NA,NA,NA,NA,NA
119.214842,0.711,-28.484593,0.866,4,14.461,0.83,15.481,0.027,15.197,-0,14.986,-0,14.896,-0
119.214859,0.735,-28.484409,1.344,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
119.215107,0.672,-28.462036,0.689,3,15.031,-0,15.764,-0,15.333,-0,14.826,-0,14.516,-0
119.215166,0.842,-28.805036,0.696,2,16.491,-0,17.435,-0.138,NA,NA,NA,NA,16.155,-0
119.215169,1.389,-28.390234,1.128,2,15.719,-0,16.4,-0,16.042,-0,15.68,-0,15.155,-0
119.215225,1.506,-28.359674,1.357,2,NA,NA,NA,NA,NA,NA,14.905,-0,14.887,-0
119.215379,0.724,-28.359898,0.768,3,15.062,-0,15.776,-0,15.359,-0,NA,NA,NA,NA
119.216032,0.945,-28.601073,0.731,5,14.674,0.032,14.918,0.07,14.739,0.024,14.711,0.025,14.554,-0
119.216156,0.733,-28.71846,0.745,5,14.297,0.018,14.737,0.04,14.463,0.017,14.237,0.02,14.214,0.031
119.216848,0.716,-28.607626,0.78,5,15.085,0.029,15.859,0.049,15.394,-0,14.925,-0,14.592,-0
119.217102,0.598,-28.686334,0.459,5,13.601,0.013,14.085,0.02,13.775,0.012,13.504,0.008,13.42,0.011
119.217585,0.568,-28.617293,0.353,5,12.265,0.021,12.634,0.031,12.396,-0,12.221,-0,12.211,0.023
119.218401,0.753,-28.784522,0.541,5,14.775,0.039,16.187,0.008,15.435,0.027,14.291,0.028,13.77,0.067
119.21927,0.628,-28.440985,0.65,3,13.513,-0,13.929,-0,13.675,-0,13.439,-0,13.33,-0
119.219504,0.688,-28.649924,0.716,4,15.119,0.029,15.933,0.011,15.444,-0,14.91,-0,14.683,0.09
119.219777,0.853,-28.57215,0.904,5,14.835,0.017,16.034,0.063,15.467,-0,14.367,-0,13.979,0.049
119.220271,1.742,-28.650255,1.151,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
119.22058,1.152,-28.795486,0.998,4,15.663,0.061,16.52,0.083,16.143,-0,15.429,-0,15.323,-0
119.221135,0.472,-28.397865,0.488,3,11.47,-0,11.562,-0,11.424,-0,11.565,-0,11.674,-0
119.221407,0.522,-28.702961,0.439,5,13.467,0.026,14.706,0.006,14.026,0.006,13.056,0.015,12.663,0.063
119.221652,1.115,-28.419558,0.768,3,15.679,-0,16.23,-0,15.946,-0,15.643,-0,15.487,-0
119.222395,1.203,-28.660174,0.614,3,15.314,0.018,16.367,0.138,15.801,-0,14.947,-0,14.638,-0
119.222761,1.218,-28.66009,0.927,3,15.297,-0,16.324,-0.051,NA,NA,NA,NA,14.804,-0
119.222834,1.205,-28.462952,1.36,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
119.223342,1.046,-28.542639,0.913,4,14.358,0.01,14.799,0.107,14.49,0.084,14.22,0.045,14.07,-0
119.224039,0.844,-28.601844,0.884,4,15.146,-0,15.742,-0,15.395,-0,14.958,-0,14.833,0.127
119.224496,0.548,-28.631459,0.418,5,13.571,0.006,14.409,0.047,13.927,0.012,13.281,0.006,13.08,0.043
119.224769,0.596,-28.435831,0.638,3,13.924,-0,14.516,-0,14.156,-0,13.79,-0,13.605,-0
119.224909,0.85,-28.403449,0.876,3,12.829,-0,13.128,-0,12.904,-0,12.802,-0,12.756,-0
119.225005,0.667,-28.347053,0.74,3,15.172,-0,15.857,-0,15.455,-0,15.001,-0,14.628,-0
119.225795,0.754,-28.666366,0.651,5,14.506,0.02,14.846,0,14.599,-0,14.498,-0,14.587,-0
119.227424,0.482,-28.811907,0.301,5,10.49,0.02,11.046,0.017,10.698,0.018,10.358,0.01,10.24,0.04
119.22754,1.158,-28.571365,0.857,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
119.227553,1.334,-28.560265,0.907,3,15.229,-0,15.862,-0.038,NA,NA,NA,NA,NA,NA
119.227613,0.027,-28.775602,1.493,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
119.227921,1.393,-28.571379,0.987,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
119.228093,0.653,-28.682227,1.005,3,14.814,-0,15.732,-0,15.259,-0,14.599,-0,NA,NA
119.228605,0.101,-28.730097,0.939,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
119.228667,1.639,-28.73125,0.265,2,16.174,-0,NA,NA,16.641,-0,15.908,-0,NA,NA
119.229641,1.16,-28.730695,1.403,2,16.367,-0,17.132,-0.096,NA,NA,NA,NA,NA,NA
119.231091,1.073,-28.500452,0.662,2,16.297,-0,17.032,-0,16.483,-0,16.046,-0,15.931,-0
119.231208,0.653,-28.7939,0.812,5,14.352,0.012,14.879,0.018,14.572,0.006,14.261,0.01,14.33,0.091
119.231587,1.169,-28.632005,0.689,3,15.253,-0,16.04,-0,15.501,-0,14.998,-0,14.897,-0
119.231729,0.51,-28.833582,1.338,3,15.446,-0,NA,NA,NA,NA,NA,NA,NA,NA
119.231809,0.747,-28.390209,1.376,3,15.986,-0,16.904,-0,16.45,-0,15.68,-0,15.546,-0
119.232113,0.841,-28.703476,0.894,3,15.93,-0,NA,NA,16.212,-0,15.843,-0,15.451,-0
119.232385,0.952,-28.558923,0.577,2,15.23,0.026,16.198,0.057,15.569,-0,14.977,-0,14.687,0.019
119.232985,0.677,-28.703312,0.364,2,NA,NA,16.616,-0,NA,NA,NA,NA,NA,NA
119.2334,0.878,-28.696168,0.935,4,15.112,-0,16.011,-0,NA,NA,NA,NA,14.711,-0.063
119.233408,0.466,-28.740771,1.288,3,12.627,0.019,13.357,0.142,13.052,-0,12.442,-0,NA,NA
119.233416,1.077,-28.696363,1.17,3,15.199,-0,16.203,-0,15.599,-0,14.92,-0,14.646,-0
119.233791,1.338,-28.736514,1.432,2,NA,NA,NA,NA,NA,NA,NA,NA,13.296,-0
119.234202,0.981,-28.326441,0.577,2,NA,NA,NA,NA,NA,NA,14.424,-0,13.885,-0
119.235231,0.645,-28.574814,1.2,2,15.811,-0,16.149,-0,NA,NA,NA,NA,NA,NA
119.235337,1.572,-28.58559,1.2,2,16.967,-0,17.217,-0.13,NA,NA,NA,NA,NA,NA
119.235466,0.549,-28.435291,0.521,3,13.069,-0,13.326,-0,13.116,-0,13.107,-0,13.12,-0
119.235484,0.798,-28.333911,0.57,3,12.633,0.085,13.016,0.006,12.745,0,12.492,0,12.455,0
