radeg,raerr,decdeg,decerr,number_of_Obs,Johnson_V,Verr,Johnson_B,B_err,Sloan_g,gerr,Sloan_r,r_err,Sloan_i,i_err
119.294922,0.508,-25.995005,0.616,2,15.011,0,15.416,0.014,15.17,0.039,14.987,0.015,14.987,0.146
119.295142,0.359,-25.596505,0.276,2,15.215,0.036,15.908,0.008,15.506,-0,15.017,-0,14.647,-0
119.295202,0.122,-25.58388,0.102,2,13.279,0.008,13.925,0.012,13.552,0.021,13.081,0.014,12.93,0.046
119.295456,0.404,-25.466423,0.21,2,14.719,0.056,15.911,0.12,15.228,0.019,14.287,0.006,13.879,0.052
119.295475,0.466,-26.058799,1.255,2,14.219,0.046,15.454,0.025,14.876,0,13.705,0.035,12.564,0.069
119.296205,0.116,-25.672953,0.113,2,12.731,0.016,13.006,0.006,12.792,0.006,12.72,0.017,12.751,0.043
119.296671,0.815,-25.851494,0.223,2,14.518,0.085,15.138,0.045,14.782,0.056,14.394,0.064,14.23,0.058
119.296765,0.536,-25.909058,0.589,2,15.341,0.049,15.771,0.034,15.458,0.017,15.245,0.038,15.163,0.155
119.296807,0.162,-25.6274,0.16,2,14.046,0.008,15.24,0.043,14.599,0,13.635,0.014,13.221,0.052
119.296814,0.804,-25.552892,0.531,2,13.683,0.008,14.336,0.021,13.942,0.011,13.527,0.053,NA,NA
119.296972,1.404,-26.343889,0.211,2,15.792,-0,16.667,-0.064,16.177,0.029,15.566,-0,NA,NA
119.297578,0.179,-25.709816,0.228,2,14.143,0.047,15.07,0.016,14.593,0.008,13.796,0.033,13.443,0.038
119.297746,0.572,-26.020343,0.196,2,14.894,0.008,16.259,0.062,15.582,0.011,14.328,0.008,NA,NA
119.29807,1.042,-26.197154,0.989,2,NA,NA,NA,NA,17.496,-0,15.858,-0,15.231,0.159
119.298402,0.273,-25.616065,0.225,2,13.326,0.011,14.568,0.016,13.917,0.011,12.878,0.01,12.433,0.052
119.298869,1.244,-26.28766,0.627,2,15.125,0.011,15.964,0,15.451,0.052,14.982,0.11,14.63,-0
119.299574,0.404,-26.259238,0.425,2,15.037,0.024,15.799,0.073,15.393,0.015,14.886,0.025,NA,NA
119.299716,0.415,-26.429576,0.336,2,15.322,0.01,16.022,0.08,15.622,0.015,15.145,0.068,15.013,-0
119.299922,0.339,-26.163689,0.376,2,14.67,0.038,15.163,0.014,14.865,0.011,14.58,0.016,14.512,0.102
119.300018,0.236,-26.156582,0.19,2,13.873,0.021,14.347,0.015,14.075,0.011,13.832,0.025,13.747,0.097
119.300368,0.735,-25.892882,0.797,2,14.874,0.05,15.297,0.039,15.054,0.01,14.786,0.008,NA,NA
119.30078,0.597,-25.643241,0.33,2,15.043,0.006,16.177,0.016,15.529,0.015,14.677,0.01,14.218,0.01
119.300911,0.769,-25.844477,0.73,2,15.804,0.081,16.439,0.026,16.099,0.067,15.62,0.117,15.459,0.063
119.301361,0.345,-25.690559,0.444,2,14.964,0,15.634,0.006,15.239,0.008,14.738,0.017,14.578,0.022
119.301424,1.029,-25.900059,0.522,2,15.487,0.042,16.197,0.069,15.79,0.035,15.132,0.029,14.947,-0
119.301434,0.751,-25.86615,0.569,2,14.892,0.031,16.299,-0.049,15.532,0.021,14.355,0.026,13.851,0.058
119.301544,0.536,-25.650359,0.322,2,14.74,0.01,14.965,0.012,14.756,0.014,14.73,0.045,14.836,0.126
119.302086,0.068,-25.763822,0.062,2,12.322,0.024,13.349,0.018,12.805,0.018,11.954,0.025,11.625,0.056
119.302383,0.261,-25.858627,0.094,2,14.253,0.012,15.407,0.006,14.807,0.017,13.853,0.006,13.453,0.066
119.302469,1.09,-26.295904,1.2,2,15.621,0.012,16.224,0.026,15.885,0.145,15.231,0.167,15.102,-0
119.302476,0.174,-25.561242,0.093,2,13.2,0.006,14.583,0.006,13.87,0.025,12.683,0,12.216,0.037
119.302717,0.456,-26.359972,0.873,2,14.893,0.064,16.499,0.092,15.694,0.072,14.305,0.008,13.577,0.046
119.302761,0.306,-25.489157,0.478,2,15.185,0.026,16.465,0.017,15.818,0.043,14.747,0.012,14.367,0.042
119.302934,0.075,-25.802284,0.12,2,13.175,0.006,13.605,0.021,13.326,0.011,13.059,0.016,13.008,0.071
119.303302,0.451,-25.553206,0.301,2,15.487,0.068,16.627,0.138,NA,NA,NA,NA,NA,NA
119.30361,0.442,-25.729629,0.81,2,16.026,0.019,16.823,0.087,16.41,0.029,15.76,0.034,15.463,-0
119.303663,0.669,-25.714251,0.524,2,15.197,0.048,15.685,0.006,15.369,-0,15.019,-0,NA,NA
119.303785,0.792,-25.531833,0.577,2,15.647,0.04,16.432,0.049,16.018,0.014,15.371,0.021,15.257,-0
119.30395,0.219,-26.264176,0.144,2,13.286,0.01,14.739,0.016,13.988,0.023,12.773,0.014,12.208,0.052
119.304188,0.777,-25.950662,0.811,2,15.805,0.041,16.527,0.078,16.028,0.011,15.559,0.039,15.483,-0
119.305181,0.556,-26.19339,1.01,2,14.242,0.006,14.773,0.012,14.427,0.041,14.148,0.045,13.98,0.01
119.305246,0.287,-25.888144,0.482,2,14.381,0.01,15.378,0.034,14.837,0.017,14.029,0.006,13.796,0.091
119.30571,0.323,-26.021601,0.569,2,15.404,0.043,16.284,0.068,15.805,-0,15.128,-0,14.848,0.006
119.305884,1.147,-26.119404,0.482,2,15.873,0.01,16.416,0.103,16.084,0.036,15.784,0.089,15.606,-0
119.306127,0.268,-25.569815,0.201,2,14.46,0.011,15.218,0.037,14.772,0.011,14.253,0.006,14.07,0.106
119.306364,0.507,-26.232728,0.433,2,15.748,-0,NA,NA,16.091,-0.028,NA,NA,NA,NA
119.306739,0.784,-26.157289,0.494,2,16.201,0.065,17.182,0.023,16.745,-0,16.035,-0,NA,NA
119.307207,0.146,-25.546005,0.087,2,14.11,0.022,14.669,0.006,14.346,0.017,13.946,0.029,13.842,0.077
119.307479,0.423,-25.518947,0.659,2,15.318,0.033,16.017,0.013,15.603,0.045,15.026,0.039,14.892,0.063
119.307491,0.833,-25.58691,0.272,2,16.124,-0,17.516,-0,16.805,0.059,15.651,0.067,15.111,-0
119.30753,0.532,-26.40613,0.446,2,15.007,0.034,16.81,0.011,15.886,0.048,14.329,0.019,13.528,0.034
119.308063,1.126,-26.394109,0.521,2,15.661,0.025,16.325,0.134,15.927,0.035,15.463,0.006,15.357,-0
