radeg,raerr,decdeg,decerr,number_of_Obs,Johnson_V,Verr,Johnson_B,B_err,Sloan_g,gerr,Sloan_r,r_err,Sloan_i,i_err
153.453065,0.293,-58.914864,0.78,3,12.861,0.042,13.536,0,13.156,0.029,12.66,0.015,12.524,0.058
153.455153,0.408,-58.739546,1.176,3,13.836,0.029,14.497,0.038,14.094,0.01,13.646,0.006,13.503,0.064
153.455676,0.966,-58.696076,0.654,3,15.421,-0,NA,NA,NA,NA,15.095,-0,14.969,0.107
153.4557,0.954,-58.519859,1.076,4,14.464,-0,15.14,-0.03,14.765,-0,14.331,-0,14.17,0.111
153.456002,0.422,-58.88819,0.852,3,13.619,0.021,15.293,0.008,14.451,0.017,13.002,0.015,12.368,0.016
153.458053,0.18,-58.709401,0.899,4,12.844,-0,13.198,0.012,12.959,-0,12.856,-0,12.897,0.067
153.458191,1.014,-58.582804,0.723,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
153.458444,0.496,-58.878851,0.552,3,13.426,0.041,14.018,0,13.655,0,13.281,0.006,13.231,-0
153.458576,0.913,-58.582712,0.712,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
153.45904,0.374,-58.791904,1.427,3,14.432,0,15.046,0.02,14.662,0.037,14.247,0.021,14.138,0.055
153.459172,1.192,-58.828114,1.15,2,15.147,-0,16.916,-0.114,16.014,-0,14.474,-0,13.748,0.059
153.459652,0.616,-58.869639,1.153,3,14.648,0.038,15.375,0.04,14.991,0.066,14.503,0.034,14.356,0
153.459943,1.244,-58.545323,0.977,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
153.460127,1.282,-58.545326,0.919,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
153.460142,0.245,-58.933433,0.73,3,13.286,0.036,13.925,0.039,13.534,0.006,13.11,0.023,13,0.057
153.461147,0.795,-58.582355,1.1,5,11.784,-0,13.318,-0,12.5,-0.003,11.278,-0,10.834,0.023
153.462055,1.287,-58.54513,1.032,6,12.68,0.024,13.239,0.085,12.925,0.04,12.578,0.008,12.463,0.037
153.462391,0.144,-58.929902,1.234,2,NA,NA,NA,NA,13.961,-0,13.51,-0,13.348,0.065
153.465245,0.411,-58.670662,1.565,2,NA,NA,NA,NA,16.131,-0.049,15.201,-0,14.784,0.099
153.466009,0.379,-58.767433,1.197,2,14.399,0.161,14.956,0.034,14.575,-0,14.127,-0,NA,NA
153.46607,0.301,-58.637374,1.109,3,13.168,-0,13.65,-0,13.347,0.01,13.114,0.018,13.074,0.049
153.466706,0.668,-58.755345,1.46,3,14.66,0.057,15.607,0.006,15.012,-0,14.37,-0,14.234,0.011
153.467174,0.654,-58.601954,1.212,3,15.574,-0,16.366,-0,15.907,-0.037,15.338,-0,15.091,0.02
153.467335,0.489,-58.89945,0.684,2,NA,NA,NA,NA,16.881,-0.093,16.172,-0,15.997,0.039
153.467942,0.363,-58.875346,0.659,2,NA,NA,NA,NA,NA,NA,NA,NA,11.662,0.043
153.469374,0.225,-58.683601,1.112,3,13.372,-0,14.054,-0,13.677,0.006,13.225,0.036,13.099,0.049
