radeg,raerr,decdeg,decerr,number_of_Obs,Johnson_V,Verr,Johnson_B,B_err,Sloan_g,gerr,Sloan_r,r_err,Sloan_i,i_err
155.006426,1.208,-60.103226,0.471,2,NA,NA,NA,NA,NA,NA,NA,NA,14.375,0
155.007824,0.598,-60.071431,0.812,4,15.112,0.029,15.735,0.026,15.361,0.036,14.95,0.039,14.795,0.188
155.008429,1.11,-60.102855,0.735,3,15.331,-0,16.667,-0,15.929,0.107,14.955,0.055,14.283,-0
155.008442,0.736,-60.109842,0.707,4,13.474,0.026,13.863,0.008,13.583,0.028,13.458,0.066,13.454,0.129
155.010841,0.973,-60.193738,0.525,4,14.122,0.013,14.738,0.027,14.329,0.036,14.024,0.063,13.863,0.071
155.011959,0.395,-60.096704,0.448,2,14.514,-0,16.335,-0,NA,NA,NA,NA,13.077,0.169
155.012427,0.916,-60.207655,0.975,2,15.326,-0,16.19,-0,15.723,-0.04,NA,NA,NA,NA
155.012616,0.779,-60.132277,0.904,4,13.112,0.038,13.372,0.016,13.129,0.026,13.191,0.082,13.231,0.085
155.014358,0.949,-60.207182,0.555,2,NA,NA,NA,NA,NA,NA,14.989,-0,14.071,-0.049
155.014803,0.685,-60.226751,0.685,4,14.686,0.029,15.324,0.027,14.938,0.031,14.497,0.109,14.183,0.137
155.016526,0.544,-60.031335,0.852,4,14.086,0.035,14.69,0.005,14.312,0.026,13.909,0.054,13.68,0.049
155.016851,0.828,-60.249306,0.896,4,13.888,0.011,14.758,0.022,14.234,0.042,13.678,0.078,13.439,0.065
155.016868,0.494,-60.014185,0.56,3,13.804,0.031,14.142,0.014,13.9,0.015,13.759,0.016,13.748,0.032
155.017792,0.607,-59.959037,1.124,2,15.72,-0,16.298,-0.066,15.959,-0,NA,NA,NA,NA
155.018501,0.968,-60.198836,0.771,4,14.808,0.036,15.517,0.019,15.067,0.059,14.729,0.149,14.47,0.08
155.019428,0.964,-60.276125,0.771,4,16.434,0.016,17.081,0.008,16.609,0.104,16.008,0.183,15.547,0
155.019902,0.823,-60.187794,0.611,4,13.435,0.032,13.91,0.013,13.596,0.028,13.359,0.105,13.292,0.073
155.020347,0.432,-59.981636,0.336,2,13.852,0.042,15.224,0,14.531,0.035,13.306,0.006,12.687,0.006
155.020533,1.772,-60.023795,0.941,3,14.726,0.025,15.44,-0.05,NA,NA,NA,NA,14.644,-0
155.021328,0.594,-60.114505,0.685,4,15.522,0.101,16.283,0.039,15.778,0.009,15.322,0.041,15.151,0.093
155.021636,0.885,-60.078193,0.196,2,NA,NA,NA,NA,NA,NA,NA,NA,14.458,0.107
155.024234,0.669,-60.255255,0.741,3,14.465,0.03,14.842,0.023,14.575,0.024,14.394,0.023,14.444,0.036
155.025784,0.824,-60.208527,0.604,4,13.936,0.017,15.373,0.01,14.617,0.063,13.494,0.053,13.033,0.111
155.026304,1.604,-60.216937,0.994,3,NA,NA,NA,NA,NA,NA,14.841,-0,14.574,0.087
155.026505,1.241,-59.95994,1.241,2,15.076,-0.032,NA,NA,15.374,0.008,14.831,0.117,14.74,0.115
155.026662,0.521,-60.288271,1.344,3,14.939,0.026,15.832,0.142,15.435,0.251,14.888,0.107,14.666,0.034
155.027561,0.986,-59.959533,0.649,2,15.063,-0,15.917,0,15.356,-0,14.79,-0,14.757,-0
155.027575,1.131,-60.216771,0.483,4,15.193,0.049,16.241,0.103,15.693,0.048,14.895,0.129,14.776,-0
155.027855,0.549,-60.157556,0.644,4,12.374,0.036,13.808,0.014,13.075,0.039,11.808,0.051,11.037,0.067
155.029685,0.592,-60.007793,0.975,3,14.985,0.005,15.56,0.013,15.198,0.024,14.773,0.006,14.616,0.009
155.029814,0.645,-60.048564,0.617,4,12.626,0.02,13.743,0.014,13.109,0.034,12.319,0.055,11.986,0.076
155.030275,1.449,-60.262653,0.57,3,15.033,0.03,15.646,0.069,15.254,0.009,14.904,0.026,NA,NA
155.03173,0.611,-59.977888,0.998,3,14.039,0.048,14.612,0.013,14.26,0.005,13.885,0.019,13.744,0.024
155.033385,0.305,-59.99308,0.53,2,14.263,0.082,14.567,0.017,14.336,0.023,14.219,0.088,14.273,0.023
155.035368,1.239,-59.968152,0.927,2,14.484,-0,15.29,-0.03,14.787,0.034,14.185,0.059,14.011,-0
155.035799,0.889,-60.269909,0.972,4,15.249,0.089,16.142,0.09,15.602,0.051,15.054,0.157,14.744,0.026
155.036041,0.344,-59.96754,0.231,2,14.445,0.01,15.255,0.038,14.777,0.023,14.206,0.012,13.981,0.006
155.038492,0.609,-60.108309,1.217,3,15.561,0.058,16.468,0.109,15.893,0.026,15.313,0.041,15.062,0
155.038536,0.977,-60.10014,1.077,4,15.693,0.057,16.52,0.177,15.971,0.026,15.515,0.093,15.189,0.021
155.039444,0.43,-60.023156,0.74,3,13.513,0.027,13.835,0.005,13.603,0.005,13.489,0.03,13.459,0.028
155.039968,0.965,-60.01143,0.744,3,NA,NA,NA,NA,16.217,0.022,14.807,0.017,14.144,0.04
155.040789,0.662,-60.12348,1.131,4,13.906,0.032,14.132,0.009,13.901,0.024,14.02,0.099,14.038,0.053
155.040793,0.301,-60.210193,1.935,2,NA,NA,16.539,-0,NA,NA,NA,NA,15.034,-0.091
155.04116,1.045,-59.939223,0.463,2,15.254,-0,15.978,-0.05,15.589,-0,14.992,-0,14.813,-0
155.041638,0.441,-60.281142,1.342,2,15.482,0.078,16.352,0.019,NA,NA,NA,NA,NA,NA
155.041657,0.854,-60.034578,0.868,4,14.941,0.052,15.551,0.046,15.144,0.029,14.793,0.084,14.666,0.251
155.04183,0.548,-60.141849,0.786,4,13.97,0.037,14.492,0.011,14.161,0.028,13.885,0.065,13.68,0.044
155.04192,0.336,-60.25601,1.037,2,14.631,0.068,15.284,0.16,NA,NA,NA,NA,NA,NA
155.041981,0.419,-60.289143,0.29,4,11.76,0.027,12.426,0.006,12.015,0.023,11.635,0.076,11.496,0.09
155.042006,1.484,-60.128496,1.112,3,15.545,-0,16.358,-0.124,15.842,0,15.607,0.123,15.451,0.017
155.042111,0.751,-59.938559,0.928,2,15.26,-0,16.037,-0,15.66,0,15.002,0.008,14.78,-0
155.044045,0.125,-59.946933,1.502,2,NA,NA,NA,NA,17.19,0.135,NA,NA,NA,NA
155.044157,1.335,-60.34513,0.906,2,15.973,0.032,16.621,0.228,16.182,0.019,15.8,0.07,NA,NA
155.044711,0.368,-60.000203,0.288,3,NA,NA,NA,NA,16.699,-0,15.446,-0,14.811,0.045
155.045232,1.231,-59.946259,1.137,3,NA,NA,NA,NA,NA,NA,16.138,0.028,15.802,-0.161
155.045395,0.8,-60.212286,1.106,4,14.69,0.035,15.335,0.03,14.921,0.043,14.682,0.156,14.523,-0
155.045584,0.61,-60.169696,0.884,2,NA,NA,NA,NA,16.159,-0.091,14.401,-0,13.529,0.017
155.04652,0.917,-60.022864,0.955,2,14.605,-0,15.429,-0.05,NA,NA,NA,NA,14.262,0.067
155.046943,0.809,-59.928784,0.505,2,14.961,-0,16.017,-0.06,15.483,0.132,14.433,0.082,13.948,0.063
155.048193,1.287,-60.2431,0.657,4,15.611,0.079,16.354,0.043,16.036,0.016,15.538,0.189,15.297,0.018
155.048443,0.534,-60.193592,0.665,4,13.306,0.023,13.939,0.018,13.537,0.03,13.182,0.072,13.086,0.14
155.048537,1.314,-60.221734,0.082,2,NA,NA,NA,NA,17.082,-0,NA,NA,16.842,-0.467
155.048598,0.968,-60.33814,0.645,4,16.019,-0,17.204,-0,16.582,0.026,15.431,0.135,14.894,0.2
155.049012,1,-60.089616,0.926,4,14.624,0.034,15.354,0.029,14.938,0.025,14.397,0.049,14.268,0.183
155.050811,1.382,-60.07663,0.892,2,NA,NA,NA,NA,16.136,-0.078,15.239,-0,15.084,-0
155.051471,1.197,-60.100168,0.909,2,NA,NA,NA,NA,17.133,0.159,16.559,0.355,16.657,0.685
155.051515,0.541,-59.982058,0.296,2,13.414,0.064,13.9,0.006,13.589,0.012,13.285,0.01,13.232,0.026
155.051523,0.815,-59.982108,1.323,2,13.424,-0,13.886,-0,13.569,0,13.309,0.017,13.204,0.039
155.052373,0.982,-60.114377,0.729,4,14.36,0.078,15.172,0.017,14.744,0.053,14.138,0.04,14.034,0.105
155.0526,1.074,-60.066878,1.073,4,14.835,0.053,15.593,0.025,15.093,0.022,14.703,0,14.474,0.149
155.053067,0.699,-60.135144,1.042,4,13.849,0.025,15.364,0.052,14.549,0.026,13.321,0.101,12.054,0.042
155.053782,0.5,-60.313198,0.286,5,10.549,0.045,10.611,0.062,10.613,0.263,10.64,0.064,10.786,0.135
155.054639,0.426,-60.011869,0.92,4,14.361,0.05,14.811,0.035,14.535,0.022,14.206,0.035,14.097,0.073
155.05739,0.867,-60.235692,0.933,2,14.976,0.028,16.199,0.136,15.46,0.045,14.592,0.042,14.402,-0
155.057539,0.869,-60.206745,0.607,4,15.225,0.018,16.24,0.122,15.737,0.119,14.95,0.115,14.501,0.122
155.057575,1.018,-59.937781,0.923,2,15.412,-0,16.349,-0.073,15.773,0.061,15.138,0.043,14.848,0.066
155.058156,0.982,-60.170243,0.589,3,14.127,0.027,15.432,0.194,14.791,0.069,13.575,0.027,12.923,0.006
155.058193,0.461,-59.937189,0.939,2,15.396,0.132,16.249,0.019,15.764,0.063,15.136,0.072,14.92,-0
155.059362,0.815,-60.217655,1.146,2,NA,NA,NA,NA,16.736,0,15.119,0.075,14.456,0.053
155.06136,1.073,-60.17944,0.462,4,11.619,0.017,11.733,0,11.571,0.07,11.789,0.116,12.007,0.089
155.061742,1.047,-59.913896,1.153,2,12.974,-0,13.299,-0.007,13.063,0.015,12.944,0.038,12.976,0.04
155.062219,0.249,-59.913562,0.175,2,12.958,0.037,13.279,0.006,13.029,0.008,12.946,0.033,13.001,0.012
155.06233,1.167,-59.995066,0.683,2,14.68,0.033,15.334,0.017,14.928,0.006,14.495,-0,14.295,-0
155.063149,0.786,-60.305996,1.377,3,NA,NA,NA,NA,16.408,0.326,NA,NA,NA,NA
155.063252,0.307,-60.304803,0.325,4,NA,NA,NA,NA,NA,NA,14.487,0.066,13.43,0.017
155.064043,0.909,-60.099921,0.699,4,12.205,0.019,12.89,0.013,12.465,0.031,12.087,0.084,11.936,0.075
155.064699,0.601,-60.346368,0.356,4,14.002,0.008,14.495,0.006,14.157,0.013,13.953,0.099,13.797,0.061
155.065692,0.927,-59.953176,1.007,2,NA,NA,NA,NA,13.853,0.055,12.813,0.017,12.392,0.053
155.066219,0.767,-59.952653,0.916,4,13.275,0.025,14.504,0.028,13.839,0.038,12.829,0.016,12.444,0.015
155.067896,1.004,-60.331549,0.55,4,15.128,0.06,15.86,0.061,15.497,0.064,15.086,0.251,14.805,0.053
155.06794,0.207,-60.000814,1.037,2,16.37,-0,16.748,-0.1,16.437,-0,15.849,-0,NA,NA
155.069101,0.605,-60.170274,0.874,3,14.561,0.034,15.508,0.093,14.954,-0,14.364,-0,NA,NA
155.069336,1.282,-60.279034,0.359,2,NA,NA,NA,NA,NA,NA,14.141,0.37,13.613,-0
155.070291,0.483,-60.051183,1.165,2,15.512,-0,16.118,-0.086,NA,NA,NA,NA,15.359,-0
155.070616,0.93,-60.279077,0.437,4,14.201,0.024,15.111,0.047,14.614,0.039,13.905,0.023,13.672,-0
155.070818,0.55,-60.233743,0.916,4,13.199,0.069,14.051,0.032,13.544,0.038,13.016,0.123,12.669,0.027
155.071502,1.116,-60.034066,0.845,2,16.414,-0,17.49,-0.194,17.014,-0,15.894,-0,NA,NA
155.071748,0.693,-60.313458,0.733,4,14.586,0.059,15.146,0.038,14.779,0.034,14.522,0.124,14.463,0.268
155.071808,1.001,-59.940084,1.142,2,14.103,-0,14.495,-0.015,14.2,0.048,13.986,0.01,13.935,-0
155.07181,1.091,-60.191178,1.086,3,15.965,0.134,16.696,0.008,16.142,-0,15.798,0.068,NA,NA
155.07241,0.264,-59.939612,0.497,2,14.056,0.038,14.442,0.014,14.168,0.006,14.011,0.016,13.923,0.043
155.072522,0.678,-60.057036,0.674,5,13.378,0.02,14.966,0.02,14.116,0.039,12.862,0.039,12.228,0.046
155.073093,0.677,-60.218011,1.094,4,13.508,0.036,13.99,0.005,13.701,0.006,13.418,0.11,13.161,0.031
155.07385,0.758,-60.009023,0.68,3,15.211,0.075,15.851,0.082,15.464,0.053,14.957,0.039,14.836,0.048
155.074231,0.779,-60.346573,0.835,3,NA,NA,NA,NA,16.736,-0,16.135,-0,15.768,0.041
155.074358,0.839,-60.290752,0.367,5,13.428,0.023,14.016,0.03,13.628,0.032,13.316,0.1,13.204,0.097
155.074924,0.864,-60.072083,1.523,4,15.631,0.064,16.531,0.048,16.064,0.031,15.469,0.035,15.039,0.175
155.076389,0.509,-60.083508,0.86,4,13.407,0.021,13.793,0.005,13.513,0.015,13.394,0.055,13.357,0.098
155.076662,0.879,-60.088155,0.994,4,15.752,0.085,16.603,0.03,16.195,0.055,15.641,0.117,15.534,0.095
155.080717,1.073,-59.917211,1.147,2,14.238,-0,15.689,-0.047,14.924,0.034,13.71,0.05,13.193,0.029
155.081024,0.963,-60.149172,1.386,2,15.061,-0,15.76,-0.063,15.28,-0,15.049,-0,NA,NA
155.081096,0.253,-59.916823,0.535,2,14.258,0.028,15.634,0.015,14.928,0.025,13.753,0.01,13.247,0.017
155.081687,0.189,-59.905343,0.071,2,10.179,0.192,10.547,0.152,10.775,0.184,10.297,-0,NA,NA
155.081804,0.712,-59.898533,0.564,2,14.941,0.014,15.616,0.103,15.103,-0,14.79,-0,14.723,-0
155.083316,1.068,-60.355841,0.525,4,15.579,0.046,16.235,0.019,15.852,0.075,15.471,0.179,15.269,-0
155.083775,0.513,-60.04921,0.718,4,13.442,0.042,14.205,0.011,13.732,0.037,13.245,0.056,13.062,0.086
155.083996,0.692,-60.329282,0.396,4,14.263,0.016,14.822,0.006,14.476,0.022,14.172,0.115,14.009,0.068
155.084188,1.337,-60.05653,0.774,2,15.271,0.05,15.965,0.084,15.575,0.034,15.139,0.044,15.043,-0
155.084445,0.816,-59.885129,1.284,2,16.257,-0,17.176,-0.158,16.653,0.055,15.889,0.077,16.002,-0
155.084588,1.081,-59.965142,1.421,3,14.01,-0.014,NA,NA,14.31,-0,13.668,0.012,13.346,-0
155.085152,0.96,-60.260037,1.001,4,15.872,0.205,16.61,0.062,16.236,0.094,15.636,0.132,15.25,-0
155.085308,0.898,-60.382373,0.461,4,15.738,0.025,16.631,0.158,16.136,0.073,15.718,0.12,15.364,0.119
155.085332,0.386,-59.964705,0.832,5,13.964,0.054,14.609,0.045,14.21,0.043,13.697,0.017,13.398,0.047
155.086891,1.44,-60.072041,0.871,3,15.608,-0,16.952,-0,16.218,0.096,15.185,0.179,14.616,0.048
155.087965,0.229,-60.038166,1.491,2,13.638,0.081,14.298,0.195,14.144,0.144,13.438,0.063,13.48,0.194
155.088057,0.779,-60.341179,0.342,5,12.899,0.032,13.322,0.044,13.035,0.047,12.812,0.094,12.742,0.085
155.088404,0.893,-60.038843,0.725,2,13.728,-0,NA,NA,NA,NA,NA,NA,13.376,0.047
155.08899,0.878,-60.234969,0.861,4,13.885,0.015,14.343,0.031,14.039,0.02,13.844,0.066,13.707,0.063
155.090077,1.081,-59.922522,1.165,2,15.2,-0,15.786,-0.045,15.439,0.043,14.929,0.074,NA,NA
155.090844,0.876,-59.922064,0.474,2,15.126,0.006,15.87,0.036,15.409,0.01,14.98,0.095,14.681,-0
155.091494,0.128,-60.3733,0.176,2,NA,NA,NA,NA,NA,NA,14.528,-0,14.386,-0.047
155.092295,0.78,-60.1134,0.858,3,15.146,0.158,16.76,0.115,15.895,0.066,14.525,0.091,13.919,0.061
155.092892,0.705,-60.225611,0.632,5,13.099,0.022,13.574,0.014,13.258,0.014,13.056,0.057,13.027,0.073
155.093051,0.837,-60.173314,1.783,3,13.966,0.137,14.666,0.042,14.208,-0,13.678,-0,13.594,0.015
155.093216,0.885,-60.2059,0.582,2,13.919,0.02,15.502,0.14,14.841,0.051,13.386,0.008,NA,NA
155.093798,1.49,-59.977232,1.417,2,13.059,-0,13.569,0,NA,NA,NA,NA,NA,NA
155.094214,0.525,-59.986498,1.393,2,15.041,0.046,15.821,0,15.347,0,14.809,0.026,14.553,-0
155.094596,0.457,-59.976634,1.251,3,13.029,0.034,13.544,0.005,13.235,0.019,12.843,0.044,12.602,0.027
155.094902,0.453,-60.352917,0.429,4,14.067,0.026,14.553,0,14.224,0.026,14.039,0.098,13.984,0.1
155.095512,0.8,-60.131368,0.708,5,13.453,0.039,15.401,0.076,14.374,0.069,12.71,0.058,11.347,0.043
155.096052,1.155,-60.048836,0.946,2,NA,NA,NA,NA,16.979,-0,16.415,-0,15.788,-0.203
155.096785,0.749,-59.959119,1.302,3,15.185,0.029,15.93,0.056,15.434,0.023,14.979,0.006,14.729,0.071
155.098098,0.673,-60.259496,0.833,3,15.031,0.099,15.9,0.021,15.438,0.009,14.696,0.03,14.388,0.03
155.098225,0.47,-60.282285,0.914,2,NA,NA,NA,NA,14.646,0.093,14.12,-0,14.101,0.167
155.099006,0.744,-60.142664,0.621,2,NA,NA,NA,NA,16.764,-0,16.278,-0,16.24,-0.264
155.099384,1.088,-60.099313,0.802,4,14.692,0.049,16.105,0.033,15.324,0.027,14.246,0.09,13.687,0.088
155.099452,1.402,-59.953139,0.999,2,15.628,-0.053,NA,NA,15.9,0.029,15.258,0.012,15.117,-0
155.100387,0.952,-59.952608,1.01,4,15.541,0.026,16.322,0.113,15.821,0.023,15.342,0.033,15.048,0.059
155.100615,0.695,-60.313462,0.996,2,NA,NA,NA,NA,16.493,-0.108,15.609,-0,15.432,0.14
155.101246,0.67,-60.30891,1.493,2,14.288,-0,15.719,-0.039,14.951,-0,13.794,-0,NA,NA
155.10125,0.982,-60.213689,0.608,4,13.766,0.03,14.357,0.015,13.994,0.031,13.679,0.049,13.591,0.107
155.101624,1.148,-60.123474,0.635,2,15.268,0.006,15.988,0.02,15.66,-0,15.057,-0,NA,NA
