radeg,raerr,decdeg,decerr,number_of_Obs,Johnson_V,Verr,Johnson_B,B_err,BV
142.629384,0.239,-50.086111,0.237,4,13.361,0.075,14.136,0.058,0.775
143.002067,0.343,-50.710209,0.426,5,13.362,0.054,14.549,0.041,1.187
142.603912,0.279,-50.145444,0.466,5,13.369,0.035,13.991,0.044,0.622
142.856823,0.375,-50.047161,0.42,5,13.369,0.047,13.889,0.031,0.52
142.680817,0.33,-50.367008,0.591,5,13.37,0.039,13.924,0.036,0.554
143.28091,0.394,-49.861201,0.253,6,13.37,0.017,13.815,0.048,0.445
142.681504,0.399,-49.989082,0.354,5,13.372,0.049,14.083,0.029,0.711
143.038941,0.363,-50.251184,0.259,7,13.384,0.035,14.033,0.061,0.649
143.113283,0.569,-50.355375,0.957,4,13.392,0.023,14.221,0.25,0.829
143.742692,0.631,-50.125011,0.202,5,13.392,0.098,14.885,0.104,1.493
142.830728,0.444,-50.289714,0.762,5,13.395,0.037,13.947,0.026,0.552
142.279686,0.193,-50.042802,0.306,5,13.397,0.03,14.389,0.028,0.992
143.002005,0.255,-49.80924,0.283,6,13.404,0.03,14.158,0.035,0.754
143.101637,0.339,-50.35406,0.791,7,13.404,0.044,14.028,0.041,0.624
142.842591,0.386,-49.85473,0.207,5,13.406,0.036,13.985,0.026,0.579
143.19218,0.519,-50.596573,0.716,6,13.413,0.043,14.966,0.061,1.553
143.214467,0.313,-50.078359,0.314,6,13.414,0.02,14.447,0.042,1.033
142.828097,0.19,-49.866616,0.214,5,13.419,0.031,14.054,0.033,0.635
142.82306,0.232,-50.194108,0.259,5,13.42,0.013,14.129,0.046,0.709
143.348918,0.818,-50.589714,0.773,5,13.423,0.04,14.193,0.047,0.77
142.855171,0.571,-50.559769,0.873,3,13.427,0.046,14.069,0.03,0.642
142.531767,0.222,-50.083989,0.158,5,13.428,0.029,14.257,0.033,0.829
142.830584,0.43,-49.943841,0.254,5,13.439,0.065,15.223,0.05,1.784
143.300358,0.399,-50.375415,0.583,6,13.442,0.029,14.728,0.057,1.286
143.294752,0.379,-50.291401,0.702,6,13.444,0.018,14.1,0.039,0.656
143.6779,0.416,-50.387355,0.363,6,13.444,0.013,14.103,0.058,0.659
142.86301,0.711,-50.272404,0.394,4,13.445,0.07,14.208,0.019,0.763
143.236581,0.296,-50.08656,0.169,5,13.446,0.007,14.126,0.046,0.68
142.83267,0.291,-49.899137,0.385,5,13.452,0.042,14.065,0.046,0.613
142.66226,0.405,-50.341665,0.646,4,13.457,0.044,14.248,0.036,0.791
142.583747,0.12,-49.853642,0.151,5,13.458,0.05,14.254,0.034,0.796
142.742738,0.296,-50.107873,0.381,5,13.458,0.04,14.087,0.036,0.629
143.668564,0.546,-50.355184,0.508,6,13.459,0.025,13.938,0.044,0.479
143.561925,0.652,-50.475842,0.801,6,13.461,0.081,14.062,0.095,0.601
143.369047,0.55,-49.872428,0.793,6,13.463,0.03,14.888,0.075,1.425
142.964321,0.304,-50.278174,0.855,5,13.465,0.04,14.158,0.03,0.693
142.85569,0.265,-50.201476,0.345,5,13.466,0.049,15.283,0.073,1.817
143.304095,0.273,-50.175499,0.191,5,13.471,0.012,14.25,0.052,0.779
142.739799,0.261,-50.030337,0.56,5,13.478,0.043,14.365,0.01,0.887
142.309384,0.268,-49.973964,0.252,4,13.482,0.054,15.629,0.045,2.147
143.494118,0.615,-50.452993,0.801,5,13.483,0.036,15.32,0.051,1.837
143.355378,0.481,-50.113732,0.207,6,13.485,0.016,14.128,0.044,0.643
143.687692,0.466,-50.389984,0.608,5,13.485,0.022,13.963,0.05,0.478
143.636173,0.457,-50.295414,0.465,6,13.491,0.015,14.945,0.037,1.454
142.771513,0.328,-49.945559,0.09,4,13.497,0.036,14.246,0.038,0.749
142.802422,0.11,-49.887603,1.377,4,13.507,0.164,14.732,0.13,1.225
142.42882,1.179,-49.947806,0.45,4,13.51,0,14.885,0,1.375
142.982012,0.241,-50.712931,0.526,5,13.511,0.026,14.105,0.011,0.594
143.18127,0.311,-49.893057,0.207,5,13.526,0.017,14.717,0.038,1.191
142.591972,0.343,-50.460894,0.892,5,13.528,0.045,14.377,0.031,0.849
142.881559,0.356,-50.648612,0.681,4,13.53,0.094,15.745,0.101,2.215
142.971059,0.333,-50.074696,0.288,5,13.531,0.05,15.713,0.111,2.182
143.353582,0.384,-49.971647,0.206,6,13.535,0.026,14.279,0.029,0.744
142.592102,0.397,-50.374765,0.622,5,13.539,0.037,14.604,0.044,1.065
143.416986,0.249,-50.023585,0.191,6,13.544,0.024,15.519,0.053,1.975
143.32736,0.325,-49.785893,0.191,5,13.545,0.013,14.229,0.04,0.684
142.479585,0.561,-50.02772,0.414,5,13.548,0.042,14.323,0.032,0.775
143.405468,0.323,-50.241317,0.229,5,13.551,0.021,14.875,0.04,1.324
143.243491,1.067,-49.80022,0.462,5,13.552,0.021,14.362,0.046,0.81
142.858255,0.167,-50.689696,0.513,4,13.557,0.027,14.133,0.031,0.576
143.083888,0.561,-50.557515,0.803,6,13.563,0.063,14.921,0.043,1.358
142.626674,0.263,-50.063239,0.334,5,13.565,0.028,14.24,0.011,0.675
143.025166,0.331,-50.032889,0.181,6,13.566,0.03,14.441,0.058,0.875
143.16441,0.426,-49.868278,0.314,6,13.566,0.018,14.217,0.044,0.651
143.249591,0.369,-50.177192,0.482,6,13.569,0.027,15.693,0.054,2.124
142.75996,0.253,-50.060389,0.204,5,13.584,0.042,15.041,0.044,1.457
142.743346,0.356,-50.346538,0.686,5,13.587,0.012,14.412,0.054,0.825
142.962986,0.189,-50.684598,0.577,4,13.588,0.03,14.226,0.02,0.638
142.765447,0.374,-50.070426,0.323,5,13.589,0.037,14.252,0.03,0.663
143.211094,0.382,-50.267977,0.26,6,13.59,0.035,15.561,0.033,1.971
142.499881,0.406,-50.28482,0.837,5,13.593,0.035,14.501,0.033,0.908
143.327691,0.392,-50.180847,0.213,6,13.594,0.018,14.482,0.038,0.888
143.336531,0.369,-49.78812,0.253,5,13.597,0.02,14.528,0.033,0.931
143.640273,0.405,-50.407602,0.391,6,13.597,0.032,14.388,0.034,0.791
142.776898,0.282,-50.417591,0.779,5,13.6,0.036,14.387,0.017,0.787
142.967957,0.313,-50.042359,0.341,5,13.601,0.026,14.327,0.021,0.726
143.359176,0.302,-50.124177,0.196,5,13.604,0.012,14.639,0.044,1.035
142.276993,0.209,-50.368607,0.728,4,13.606,0.009,14.886,0.074,1.28
142.701273,0.417,-49.834214,0.179,5,13.606,0.054,14.267,0.044,0.661
143.027236,0.37,-50.075686,0.353,7,13.611,0.027,14.303,0.053,0.692
142.721491,0.277,-50.215603,0.232,5,13.612,0.048,14.416,0.035,0.804
142.975794,0.133,-49.846385,0.181,4,13.612,0.06,15.142,0.031,1.53
143.00894,0.232,-49.827069,0.159,6,13.613,0.031,14.421,0.033,0.808
142.955653,0.242,-50.420535,0.874,5,13.622,0.036,14.461,0.045,0.839
142.721322,0.137,-49.877841,0.134,4,13.623,0.034,14.268,0.032,0.645
143.096904,0.621,-50.624424,0.775,5,13.624,0.057,15.429,0.067,1.805
142.656152,0.345,-50.466832,0.824,5,13.635,0.027,14.312,0.032,0.677
142.494912,0.695,-50.117416,0.231,4,13.641,0.07,14.542,0.034,0.901
142.586628,0.31,-49.84458,0.145,5,13.643,0.017,14.639,0.038,0.996
142.931096,0.245,-49.8969,0.466,5,13.643,0.041,14.864,0.058,1.221
143.462552,0.736,-50.458614,0.805,5,13.645,0.062,14.38,0.04,0.735
143.41547,0.355,-50.202288,0.354,6,13.647,0.029,14.345,0.044,0.698
143.087692,0.78,-50.597316,0.663,5,13.651,0.052,15.178,0.055,1.527
142.939308,0.405,-50.526772,0.855,5,13.652,0.056,15.307,0.05,1.655
142.848559,0.252,-49.836879,0.201,5,13.657,0.032,14.334,0.027,0.677
142.995656,0.191,-49.785503,0.246,5,13.657,0.027,14.859,0.043,1.202
143.39908,0.462,-49.944496,0.293,6,13.657,0.018,15.727,0.048,2.07
143.259914,0.769,-50.450304,0.787,3,13.659,0.009,14.332,0.056,0.673
143.242795,0.334,-50.227491,0.192,5,13.663,0.023,14.208,0.052,0.545
142.961577,0.119,-49.991807,0.144,4,13.67,0.049,14.555,0.046,0.885
143.176798,0.48,-50.373783,0.578,6,13.671,0.031,14.457,0.028,0.786
143.11655,0.465,-49.991244,0.226,7,13.673,0.019,14.389,0.055,0.716
143.626966,0.161,-50.097886,0.253,5,13.678,0.016,14.379,0.046,0.701
143.642889,0.846,-50.143229,0.382,6,13.678,0.071,14.419,0.1,0.741
142.997251,0.657,-50.268427,0.71,5,13.68,0.037,14.237,0.038,0.557
143.41086,0.479,-49.871639,0.479,6,13.693,0.009,14.277,0.042,0.584
142.422615,0.196,-50.018945,0.15,5,13.694,0.04,14.947,0.041,1.253
142.850215,0.322,-50.300839,0.599,4,13.702,0.035,14.292,0.022,0.59
143.281005,0.363,-49.757632,0.276,5,13.703,0.017,14.249,0.043,0.546
143.25639,0.324,-50.186479,0.144,5,13.706,0.023,14.373,0.043,0.667
143.707085,0.253,-50.140424,0.228,6,13.713,0.017,14.296,0.046,0.583
142.601969,0.304,-49.902534,0.222,5,13.715,0.042,14.445,0.03,0.73
143.379307,0.426,-50.441747,0.751,5,13.717,0.018,14.971,0.035,1.254
142.537402,0.285,-50.208653,0.225,4,13.718,0.037,15.485,0.036,1.767
143.203068,0.456,-50.223232,0.257,6,13.718,0.035,14.532,0.051,0.814
143.102971,0.495,-50.191156,0.201,6,13.719,0.032,14.413,0.053,0.694
142.969082,0.294,-50.035813,0.47,4,13.72,0.058,15.34,0.039,1.62
143.212993,0.333,-50.048807,0.222,6,13.72,0.011,14.574,0.045,0.854
143.121518,0.5,-50.370848,0.572,7,13.726,0.036,14.324,0.045,0.598
143.63161,0.26,-50.003985,0.244,6,13.728,0.017,15.131,0.035,1.403
143.110525,0.463,-50.336418,0.542,6,13.729,0.052,14.66,0.045,0.931
142.538231,0.351,-50.502429,0.934,5,13.732,0.044,14.469,0.021,0.737
143.575999,0.821,-50.540634,0.844,6,13.737,0.015,14.659,0.062,0.922
143.176203,0.54,-50.358671,0.509,5,13.739,0.016,15.153,0.035,1.414
143.564669,0.604,-50.544621,0.71,5,13.748,0.068,16.072,0.083,2.324
143.263447,0.305,-49.861785,0.382,6,13.751,0.014,15.343,0.039,1.592
142.800924,0.372,-50.313913,0.729,4,13.752,0.042,15.661,0.119,1.909
143.376495,0.853,-50.162855,1.416,4,13.752,0.021,14.752,0.091,1
143.214567,0.5,-50.434591,0.773,6,13.753,0.047,14.467,0.04,0.714
142.578359,0.178,-49.796479,0.227,4,13.754,0.027,14.663,0.025,0.909
143.236316,0.58,-50.467069,0.966,5,13.764,0.03,14.374,0.055,0.61
143.623399,1.034,-49.961414,0.488,3,13.766,0.056,14.358,0.047,0.592
143.499922,0.325,-50.202073,0.281,5,13.767,0.014,14.538,0.036,0.771
142.608423,0.707,-50.028369,0.524,3,13.776,0,15.59,-0.033,1.814
143.00298,0.246,-49.986775,0.48,5,13.779,0.094,15.319,0.084,1.54
142.83138,0.236,-50.084264,0.149,4,13.782,0.052,15.414,0.046,1.632
142.408514,0.218,-50.454434,0.914,4,13.783,0.04,14.846,0.015,1.063
143.215355,0.46,-49.892627,0.412,6,13.784,0.02,14.352,0.033,0.568
142.997594,0.368,-50.437562,0.913,5,13.785,0.032,14.446,0.023,0.661
143.503128,0.664,-50.504282,0.787,6,13.788,0.041,14.499,0.037,0.711
142.92327,0.342,-50.347156,0.916,4,13.791,0.624,16.147,0.581,2.356
143.107538,0.77,-50.000936,0.273,7,13.795,0.026,14.728,0.058,0.933
142.262596,0.483,-50.234558,0.32,5,13.797,0.017,14.562,0.064,0.765
143.212698,0.675,-50.660005,0.68,5,13.798,0.073,15.232,0.061,1.434
143.0306,0.251,-50.628623,0.81,3,13.801,0.124,14.82,0.096,1.019
142.79141,0.217,-50.079827,0.39,4,13.802,0.044,15.541,0.059,1.739
143.00357,0.3,-50.358416,0.649,7,13.802,0.058,14.69,0.052,0.888
143.108679,0.574,-50.434074,0.674,6,13.803,0.056,15.417,0.061,1.614
142.874137,0.458,-50.395135,0.744,4,13.805,0.031,14.536,0.039,0.731
142.832814,0.359,-50.402033,0.663,4,13.806,0.052,15.339,0.067,1.533
143.116737,0.461,-49.76645,0.161,6,13.809,0.035,14.595,0.035,0.786
142.804097,0.468,-50.389712,0.537,5,13.81,0.016,14.628,0.028,0.818
143.466494,0.378,-49.941967,0.22,5,13.81,0.03,15.339,0.055,1.529
142.840836,0.362,-50.169076,0.408,5,13.813,0.069,14.88,0.036,1.067
143.19667,0.596,-50.294917,0.498,6,13.818,0.035,14.487,0.041,0.669
143.269683,0.671,-50.105806,0.572,5,13.819,0.034,15.109,0.076,1.29
143.619605,0.309,-50.173505,0.709,2,13.823,0,14.517,0.074,0.694
143.307893,0.703,-50.422442,0.795,6,13.824,0.018,14.716,0.047,0.892
142.553001,1.025,-49.995331,0.228,3,13.83,0.072,14.739,0.018,0.909
142.71091,0.446,-50.402817,0.497,5,13.83,0.043,14.713,0.029,0.883
143.004928,0.366,-50.690989,0.623,5,13.83,0.048,14.697,0.016,0.867
142.551629,0.289,-50.049388,0.271,5,13.832,0.027,14.613,0.035,0.781
142.868826,0.227,-49.974417,0.291,5,13.832,0.027,14.616,0.022,0.784
142.525344,0.201,-50.377404,0.626,4,13.839,0.021,14.768,0.046,0.929
143.09606,0.34,-49.77034,0.247,6,13.841,0.047,15.891,0.099,2.05
142.349782,0.286,-50.238746,0.295,5,13.842,0.046,15.658,0.036,1.816
143.317578,0.837,-50.598755,0.686,5,13.845,0.065,14.665,0.058,0.82
143.128353,0.445,-50.313086,0.476,7,13.849,0.045,14.593,0.052,0.744
142.990074,0.464,-50.465383,0.813,5,13.853,0.028,14.596,0.04,0.743
142.712036,0.216,-49.906281,0.177,5,13.855,0.028,14.768,0.035,0.913
143.118432,0.452,-50.416703,0.693,6,13.856,0.04,14.691,0.065,0.835
142.607465,0.226,-50.073807,0.348,3,13.857,0.052,14.546,0,0.689
142.521631,0.453,-50.38946,0.75,5,13.858,0.021,14.633,0.044,0.775
142.856066,0.242,-49.96272,0.145,4,13.858,0.047,15.445,0.021,1.587
143.453506,0.361,-50.273691,0.272,5,13.859,0.012,15.347,0.046,1.488
143.024558,0.347,-50.19049,0.623,7,13.86,0.049,14.855,0.049,0.995
143.283422,0.359,-49.999744,0.412,5,13.861,0.018,15.375,0.07,1.514
143.362203,0.516,-50.468937,0.909,4,13.868,0.039,15.857,0.059,1.989
142.383587,0.472,-50.326015,0.854,3,13.871,0,15.755,0,1.884
142.480178,0.379,-50.23114,0.572,4,13.871,0.023,14.568,0.044,0.697
142.238907,0.284,-50.102178,0.371,4,13.876,0.119,14.983,0.084,1.107
143.402591,0.554,-50.517027,0.656,5,13.876,0.043,14.875,0.03,0.999
143.017796,0.383,-50.138413,0.249,7,13.879,0.05,14.699,0.049,0.82
143.588136,0.219,-50.116165,0.374,5,13.881,0,14.535,0.045,0.654
142.792614,0.409,-50.415335,0.586,4,13.885,0.029,14.641,0.006,0.756
142.707921,0.206,-50.126524,0.389,5,13.886,0.058,14.747,0.036,0.861
142.465703,0.374,-50.202285,0.208,4,13.889,0.032,14.823,0.027,0.934
143.100473,0.389,-50.345407,1.543,2,13.89,0,15.542,0,1.652
143.56984,0.216,-50.367507,1.059,6,13.89,0.053,14.468,0.051,0.578
143.671924,1.029,-50.070039,0.846,4,13.892,0.11,14.911,0.115,1.019
142.478281,0.375,-50.48802,0.684,5,13.895,0.036,14.981,0.019,1.086
143.222962,0.568,-50.344709,0.692,6,13.895,0.039,15.342,0.024,1.447
142.326203,0.355,-50.003986,0.472,4,13.896,0.052,15.711,0.107,1.815
142.793074,0.24,-50.252867,0.671,4,13.897,0.031,14.828,0.033,0.931
143.574111,0.425,-49.924776,0.168,5,13.905,0.009,14.731,0.034,0.826
142.570621,0.308,-50.17447,0.24,4,13.908,0.048,14.805,0.023,0.897
143.091957,0.478,-50.054217,0.307,7,13.908,0.04,14.573,0.049,0.665
142.630901,0.375,-50.210431,0.334,5,13.915,0.044,14.649,0.052,0.734
142.808428,0.43,-49.926442,0.291,4,13.917,0.055,15.462,0.023,1.545
143.307578,0.506,-50.370488,0.279,5,13.919,0.02,15.484,0.029,1.565
143.258316,0.745,-50.351893,0.589,6,13.921,0.044,14.596,0.044,0.675
143.286562,0.467,-50.422917,0.814,6,13.924,0.042,15.564,0.025,1.64
142.949498,0.277,-50.273513,0.214,4,13.926,0.04,15.429,0.035,1.503
143.37261,0.249,-50.008823,0.257,6,13.927,0.027,15.314,0.057,1.387
142.521827,0.463,-50.311306,0.688,5,13.929,0.037,14.978,0.048,1.049
143.002547,0.371,-50.158263,0.267,6,13.929,0.041,14.825,0.049,0.896
143.028702,0.388,-50.129551,0.273,7,13.931,0.048,14.497,0.065,0.566
142.929455,0.335,-50.243048,0.688,5,13.933,0.04,15.624,0.058,1.691
143.659222,0.279,-50.174906,0.258,5,13.933,0.034,14.817,0.055,0.884
143.326868,0.611,-50.075632,0.54,6,13.935,0,16.412,-0.075,2.477
143.523994,0.526,-50.355076,0.513,5,13.935,0.018,14.885,0.028,0.95
143.525264,0.635,-50.519368,0.791,5,13.935,0.042,15.435,0.042,1.5
142.771292,0.178,-49.881451,0.263,4,13.938,0.04,15.465,0.029,1.527
142.89071,0.555,-50.320511,0.742,4,13.94,0.084,14.777,0.057,0.837
142.62848,0.512,-50.052478,0.352,5,13.942,0.05,14.962,0.066,1.02
143.405961,0.814,-50.315681,0.496,6,13.943,0.005,14.651,0.047,0.708
142.455179,0.493,-50.417013,0.822,4,13.944,0.073,16.621,0.193,2.677
142.573384,0.602,-50.046985,1.077,4,13.949,0.107,14.796,0.12,0.847
142.395242,0.376,-50.169743,0.189,4,13.95,0.042,14.809,0.039,0.859
142.804724,0.256,-50.628746,0.588,4,13.951,0.032,14.842,0.03,0.891
142.310612,0.528,-50.364166,0.723,5,13.953,0.015,15.829,0.048,1.876
143.537088,0.434,-50.382268,0.569,6,13.955,0.017,15.503,0.045,1.548
143.598452,0.305,-49.928788,0.366,5,13.961,0.02,14.75,0.063,0.789
142.603296,0.38,-50.55042,0.913,5,13.962,0.027,14.841,0.022,0.879
143.189141,0.446,-50.154278,0.282,6,13.965,0.016,14.794,0.046,0.829
143.486052,0.684,-50.517705,0.662,6,13.972,0.049,14.745,0.043,0.773
143.346853,0.558,-50.47276,0.727,5,13.973,0.05,14.771,0.054,0.798
142.829056,0.344,-50.301133,0.653,4,13.974,0.036,14.604,0.033,0.63
143.23315,0.889,-50.255866,0.354,5,13.974,0.027,14.723,0.05,0.749
142.581549,0.57,-50.093692,0.263,4,13.976,0.097,14.753,0.043,0.777
143.066646,0.602,-50.537006,0.787,7,13.976,0.071,15.817,0.069,1.841
143.548698,0.558,-49.970653,0.355,6,13.978,0.036,15.347,0.115,1.369
142.356473,0.606,-49.92445,0.279,4,13.98,0.04,14.8,0.023,0.82
143.062842,0.815,-50.504508,0.596,6,13.98,0.035,15.49,0.058,1.51
143.468066,0.344,-50.180038,0.306,6,13.983,0.026,14.553,0.036,0.57
142.562076,0.471,-50.344418,0.54,4,13.984,0.03,14.855,0.034,0.871
142.861007,0.508,-49.905929,0.854,4,13.991,0.104,14.902,0.05,0.911
143.386502,1.173,-50.57171,0.975,2,13.993,0.008,14.698,0.047,0.705
143.101232,0.745,-50.348849,0.868,3,13.996,0,16.286,0,2.29
143.596853,0.372,-50.06319,0.538,5,13.997,0.048,14.897,0.101,0.9
143.041693,0.681,-50.597599,0.62,6,13.999,0.071,14.761,0.046,0.762
143.340921,0.422,-50.007522,0.267,5,14,0.029,14.842,0.041,0.842
142.207659,0.289,-50.171776,0.366,4,14.006,0.042,15.832,0.031,1.826
143.398835,0.558,-50.45859,1.072,6,14.009,0.064,14.602,0.057,0.593
142.666394,0.609,-50.229692,0.24,5,14.01,0.02,14.842,0.042,0.832
143.071315,0.773,-50.016612,0.419,6,14.01,0.028,15.74,0.011,1.73
143.118316,0.807,-50.600403,0.691,5,14.01,0.04,14.771,0.042,0.761
142.202508,0.485,-50.216083,0.311,5,14.011,0.03,14.913,0.037,0.902
143.510679,0.448,-49.946918,0.443,6,14.012,0.027,14.791,0.073,0.779
143.066035,0.216,-50.000692,0.227,7,14.013,0.037,14.824,0.058,0.811
143.31877,0.431,-50.163305,0.242,5,14.013,0.018,14.628,0.055,0.615
143.334346,0.412,-50.316088,0.412,5,14.016,0.031,14.68,0.053,0.664
142.660982,0.213,-50.036152,0.306,5,14.023,0.04,14.816,0.056,0.793
142.664813,0.175,-50.256368,0.691,4,14.028,0.068,15.048,0.038,1.02
143.022695,0.435,-50.607079,0.833,5,14.028,0.046,14.858,0.029,0.83
142.944887,0.4,-50.078901,0.235,5,14.032,0.037,14.75,0.038,0.718
143.552071,0.674,-50.457162,0.893,5,14.034,0.038,15.63,0.031,1.596
143.567333,0.483,-50.047254,0.633,5,14.036,0.037,14.802,0.078,0.766
142.451741,0.245,-50.012607,0.156,4,14.039,0.034,15.167,0.035,1.128
143.235502,0.416,-50.568783,0.778,5,14.042,0.066,14.88,0.041,0.838
142.964739,0.296,-50.529355,0.805,4,14.043,0.029,14.795,0.034,0.752
142.860893,0.484,-50.176402,0.382,5,14.045,0.052,14.848,0.053,0.803
143.340961,0.879,-50.65705,0.653,3,14.047,0.056,14.592,0,0.545
143.661469,1.002,-50.017131,0.249,6,14.05,0.093,15.372,0.124,1.322
143.590936,0.543,-50.282163,0.49,6,14.051,0.024,14.914,0.066,0.863
143.305074,0.327,-50.121668,0.297,5,14.054,0.026,14.813,0.043,0.759
143.321187,0.832,-49.903928,0.367,4,14.062,0.019,14.822,0.046,0.76
142.928104,0.274,-50.634643,0.67,4,14.063,0.049,15.076,0.016,1.013
143.306192,0.633,-50.472994,0.794,4,14.063,0.061,14.682,0.053,0.619
143.532098,0.46,-50.405449,0.524,5,14.063,0.036,15.737,0.054,1.674
143.535083,0.829,-50.476513,0.924,5,14.063,0.034,14.748,0.053,0.685
143.496629,0.356,-49.936354,0.278,5,14.064,0.009,14.84,0.034,0.776
142.806314,0.748,-50.173625,1.017,4,14.068,0.136,14.965,0.099,0.897
143.186556,0.464,-50.428795,0.779,5,14.069,0.027,15.007,0.045,0.938
143.677806,0.339,-50.122868,0.257,5,14.07,0.02,14.563,0.049,0.493
143.008369,0.28,-49.864143,0.396,6,14.077,0.014,15.096,0.051,1.019
142.808021,0.152,-50.182526,0.808,4,14.079,0.06,14.811,0.04,0.732
143.301696,0.329,-50.114687,0.21,5,14.079,0.043,14.889,0.055,0.81
142.991545,0.609,-49.863661,0.483,4,14.081,0.037,14.795,0.026,0.714
143.375242,0.606,-50.622746,0.933,5,14.087,0.069,14.827,0.05,0.74
142.666429,0.452,-50.352774,0.645,5,14.09,0.059,14.939,0.026,0.849
142.881876,0.868,-50.324533,1.157,2,14.09,0,14.938,0,0.848
143.48492,0.756,-50.472998,1.064,5,14.091,0.056,14.912,0.052,0.821
142.933815,0.404,-50.453408,1.079,4,14.096,0.052,14.911,0.028,0.815
143.336417,0.449,-50.646093,1.029,2,14.1,0.035,15.62,0.103,1.52
142.648343,0.315,-50.51658,0.774,4,14.103,0.036,14.9,0.009,0.797
143.523585,0.699,-50.108714,0.258,5,14.103,0.063,15.82,0.079,1.717
143.192409,0.441,-49.771631,0.353,5,14.106,0.025,15.132,0.037,1.026
143.717563,0.242,-50.339863,0.368,5,14.11,0.028,14.793,0.038,0.683
143.302985,0.769,-50.520206,0.791,3,14.111,0.094,14.718,0.1,0.607
142.686628,0.138,-49.83141,0.212,4,14.118,0.023,14.796,0.03,0.678
143.338588,0.284,-50.203084,0.203,5,14.121,0.025,15.038,0.041,0.917
142.530012,0.181,-50.150623,0.183,4,14.122,0.055,15.197,0.037,1.075
142.999467,0.427,-50.334347,0.695,5,14.123,0.035,15.07,0.068,0.947
143.522053,0.256,-49.959949,0.419,5,14.124,0.006,14.887,0.055,0.763
142.911481,0.38,-50.437787,1.003,4,14.125,0.046,14.91,0.023,0.785
143.273952,0.336,-49.827145,0.217,5,14.129,0.015,14.914,0.048,0.785
142.821279,0.874,-50.528534,1.01,4,14.13,0.092,14.959,0.067,0.829
142.524291,0.121,-50.490357,0.876,4,14.131,0.031,15.177,0.021,1.046
143.327815,0.43,-49.844414,0.489,6,14.131,0.032,15.086,0.05,0.955
142.794113,0.554,-50.304373,0.842,5,14.132,0.034,14.811,0.032,0.679
143.555076,0.483,-50.336442,0.435,5,14.132,0.028,14.702,0.037,0.57
143.179181,0.616,-50.657399,0.621,4,14.134,0.056,15.724,0.039,1.59
143.032061,0.425,-50.595706,1.044,5,14.135,0.076,15.683,0.111,1.548
143.139998,0.757,-50.421013,0.778,5,14.136,0.037,15.017,0.043,0.881
142.774616,0.185,-50.614182,0.609,4,14.139,0.02,14.911,0.011,0.772
143.551877,0.83,-50.488478,0.791,5,14.14,0.055,14.727,0.033,0.587
143.60628,0.39,-50.143037,0.623,5,14.14,0.033,14.917,0.042,0.777
143.312061,0.313,-50.190069,0.701,5,14.141,0.032,14.822,0.046,0.681
143.368038,0.303,-49.883157,0.287,6,14.145,0.025,14.88,0.057,0.735
142.786499,0.174,-50.599601,0.779,4,14.149,0.035,16.19,0.028,2.041
143.029043,0.466,-50.483906,0.774,6,14.153,0.06,15.041,0.07,0.888
142.53218,0.335,-50.435763,1.053,4,14.154,0.03,15.9,0.067,1.746
143.259704,0.776,-50.3192,0.66,2,14.157,0.062,15.155,0.077,0.998
142.871002,0.303,-50.55008,0.777,4,14.16,0.033,14.901,0.026,0.741
143.738536,0.372,-50.286948,0.248,5,14.16,0.024,14.844,0.044,0.684
143.390556,1.057,-50.572057,0.568,2,14.161,0,14.672,0,0.511
143.523532,0.69,-50.553571,0.65,5,14.161,0.043,14.999,0.056,0.838
143.418023,0.522,-50.092759,0.627,6,14.164,0.028,14.76,0.046,0.596
143.335957,0.346,-50.170095,0.636,5,14.166,0.014,14.838,0.052,0.672
142.523074,0.21,-49.902671,0.256,5,14.17,0.026,15.035,0.043,0.865
143.048243,0.442,-49.78827,0.345,6,14.17,0.049,15.657,0.046,1.487
142.696466,0.302,-50.098152,0.203,4,14.172,0.034,14.976,0.048,0.804
142.936218,0.216,-49.929292,0.215,4,14.174,0.019,15.176,0.039,1.002
143.340374,0.419,-50.362523,0.589,5,14.174,0.035,14.993,0.049,0.819
142.932142,0.284,-50.044779,0.15,4,14.177,0.056,15.104,0.033,0.927
143.132311,0.628,-50.052602,0.39,6,14.177,0.018,15.206,0.042,1.029
142.546882,0.298,-50.323453,0.802,3,14.178,0.083,15.292,0.063,1.114
143.265998,0.966,-50.365243,0.774,5,14.178,0.006,15.537,0.081,1.359
143.384926,0.604,-50.364917,0.891,4,14.18,0.049,14.932,0.07,0.752
142.578815,0.134,-50.009982,1.324,2,14.181,0,16.545,-0.08,2.364
143.244148,0.635,-50.596829,0.703,6,14.182,0.047,15.072,0.055,0.89
142.815925,0.198,-50.084632,0.194,4,14.183,0.038,14.801,0.024,0.618
143.009115,0.289,-49.813806,0.329,4,14.185,0.051,15.065,0.008,0.88
142.975806,0.526,-50.087018,0.708,5,14.189,0.035,14.995,0.033,0.806
143.396182,0.456,-50.387344,0.558,5,14.194,0.039,14.77,0.057,0.576
143.112899,0.437,-50.092087,0.237,6,14.195,0.026,15.111,0.059,0.916
143.103274,0.651,-50.480098,0.834,5,14.2,0.089,16.012,0.068,1.812
143.084261,0.528,-50.384818,0.619,6,14.204,0.075,15.015,0.062,0.811
143.449115,0.302,-50.253386,0.29,5,14.204,0.021,15.792,0.065,1.588
143.296632,0.569,-50.342947,1.214,3,14.209,0,14.906,-0.016,0.697
