radeg,raerr,decdeg,decerr,number_of_Obs,Johnson_V,Verr,Johnson_B,B_err,BV
142.990631,0.313,-50.643917,0.647,5,11.661,0.031,12.247,0.029,0.586
142.649841,0.601,-49.932923,0.092,2,11.704,0.102,12.333,0.012,0.629
142.991654,0.144,-49.886864,0.108,5,11.714,0.036,12.443,0.035,0.729
142.689387,0.219,-50.554315,0.779,5,11.729,0.019,12.232,0.016,0.503
143.35943,0.258,-49.860279,0.154,6,11.732,0.01,12.733,0.034,1.001
143.49399,0.64,-50.588747,0.763,6,11.766,0.049,12.468,0.037,0.702
142.964471,0.13,-50.632159,0.681,4,11.788,0.034,12.311,0.013,0.523
143.612025,0.254,-49.981039,0.208,6,11.788,0.01,12.525,0.038,0.737
143.503871,0.21,-50.254755,0.21,6,11.802,0.022,12.302,0.041,0.5
143.508802,0.836,-50.512942,0.731,6,11.822,0.06,12.264,0.038,0.442
142.316482,0.304,-50.046472,0.122,5,11.826,0.028,12.264,0.033,0.438
142.419648,0.183,-50.052492,0.092,5,11.828,0.016,12.346,0.034,0.518
143.345435,0.264,-49.923497,0.153,6,11.838,0.02,12.32,0.047,0.482
143.132289,0.377,-50.256588,0.178,7,11.841,0.028,12.506,0.056,0.665
143.236236,0.301,-49.762584,0.21,6,11.853,0.012,13.334,0.028,1.481
142.603798,0.185,-50.637699,0.52,4,11.871,0.038,12.925,0.02,1.054
143.074918,0.487,-50.358563,0.477,7,11.886,0.042,12.371,0.048,0.485
142.773593,0.183,-50.266025,0.579,5,11.888,0.031,12.63,0.035,0.742
142.818953,0.138,-49.780346,0.097,5,11.902,0.043,12.583,0.053,0.681
143.302967,0.26,-50.232916,0.33,6,11.932,0.014,12.473,0.047,0.541
142.371113,0.168,-50.366352,0.612,5,11.935,0.02,12.59,0.04,0.655
142.883711,0.292,-50.559633,0.81,5,11.941,0.025,12.39,0.023,0.449
143.005487,0.379,-50.398478,0.539,6,11.954,0.032,12.866,0.034,0.912
